"","X","DR.NUMBER","DATE.REPORTED","DATE.OCCURRED","TIME.OCCURRED","AREA.ID","AREA.NAME","REPORTING.DISTRICT","CRIME.CODE","CRIME.CODE.DESCRIPTION","crime.type.record","level.detail","MO.CODES","VICTIM.AGE","VICTIM.SEX","VICTIM.DESCENT","PREMISE.CODE","PREMISE.DESCRIPTION","WEAPON.USED.CODE","WEAPON.DESCRIPTION","STATUS.CODE","STATUS.DESCRIPTION","CRIME.CODE.1","CRIME.CODE.2","CRIME.CODE.3","CRIME.CODE.4","ADDRESS","CROSS.STREET","LOCATION","LATITUDE","LONGITUDE","geometry","index_right","CT10","GEOID10","LABEL","OBJECTID","Shape_STAr","Shape_STLe","X_Center","Y_Center","year","month","day","day_of_week","duration"
"1026",1026,171417297,2017-07-25,2017-07-25,1936,14,"Pacific",1412,210,"ROBBERY","Robbery","","0334 1218 0344",26,"M","B",103,"ALLEY",102,"HAND GUN","IC","Invest Cont",210,NA,NA,NA,"HORIZON","SPEEDWAY","(33.9933, -118.4765)",33.9933,-118.4765,"POINT (-118.4765 33.9933)",444,273402,6037273402,2734.02,445,6617969.751,11497.31929,6416980,1820138,2017,7,25,"Wednesday",0
"1027",1027,171417324,2017-07-25,2017-07-25,1245,14,"Pacific",1412,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0416 1402",35,"M","B",117,"BEACH",218,"OTHER CUTTING INSTRUMENT","IC","Invest Cont",230,998,NA,NA,"CLUB HOUSE                   AV","OCEAN FRONT                  WK","(33.9892, -118.4751)",33.9892,-118.4751,"POINT (-118.4751 33.9892)",444,273402,6037273402,2734.02,445,6617969.751,11497.31929,6416980,1820138,2017,7,25,"Wednesday",0
"1028",1028,171418260,2017-08-09,2017-08-05,2330,14,"Pacific",1412,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","Threats","No weapon","1218 2004 0344",48,"M","W",101,"STREET",NA,"","IC","Invest Cont",930,NA,NA,NA,"OCEAN FRONT                  WK","NAVY","(33.9958, -118.4815)",33.9958,-118.4815,"POINT (-118.4815 33.9958)",444,273402,6037273402,2734.02,445,6617969.751,11497.31929,6416980,1820138,2017,8,5,"Sunday",4
"1029",1029,171418718,2017-08-16,2017-08-12,2000,14,"Pacific",1411,210,"ROBBERY","Robbery","","0344 1218",65,"M","O",117,"BEACH",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"OCEAN FRONT","WASHINGTON","(33.9918, -118.4791)",33.9918,-118.4791,"POINT (-118.4791 33.9918)",444,273402,6037273402,2734.02,445,6617969.751,11497.31929,6416980,1820138,2017,8,12,"Sunday",4
"1030",1030,160215796,2016-08-19,2016-08-18,620,2,"Rampart",249,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","1813 0416 0305 0429 2004 1218 2000",39,"F","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"7TH","BIXEL","(34.0509, -118.2642)",34.0509,-118.2642,"POINT (-118.2642 34.0509)",940,209200,6037209200,2092,942,4426071.553,8750.643303,6482584,1842213,2016,8,18,"Friday",1
"1031",1031,160215857,2016-08-20,2016-08-20,50,2,"Rampart",249,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0408 0417 0416 1018 0913 1218 2004",47,"M","O",203,"OTHER BUSINESS",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",230,NA,NA,NA,"1100 W  6TH                          ST","","(34.0541, -118.2621)",34.0541,-118.2621,"POINT (-118.2621 34.0541)",940,209200,6037209200,2092,942,4426071.553,8750.643303,6482584,1842213,2016,8,20,"Sunday",0
"1032",1032,170207756,2017-03-17,2017-02-09,1800,2,"Rampart",249,121,"RAPE, FORCIBLE","Rape","Forcible","0519 0500 0527 0416 0418 1300 1415 1218",37,"F","W",503,"HOTEL",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,998,NA,NA,"1100 W  7TH                          ST","","(34.0542, -118.2611)",34.0542,-118.2611,"POINT (-118.2611 34.0542)",940,209200,6037209200,2092,942,4426071.553,8750.643303,6482584,1842213,2017,2,9,"Friday",36
"1033",1033,170208279,2017-03-28,2017-03-28,110,2,"Rampart",269,210,"ROBBERY","Robbery","","1300 0444 0448 0344 0216 1218",19,"M","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"7TH                          ST","BIXEL","(34.0509, -118.2642)",34.0509,-118.2642,"POINT (-118.2642 34.0509)",940,209200,6037209200,2092,942,4426071.553,8750.643303,6482584,1842213,2017,3,28,"Wednesday",0
"1034",1034,170210231,2017-05-06,2017-05-06,1000,2,"Rampart",249,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036","Theft","","0344 1218",54,"M","W",101,"STREET",NA,"","IC","Invest Cont",341,NA,NA,NA,"1100 W  7TH                          ST","","(34.0542, -118.2611)",34.0542,-118.2611,"POINT (-118.2611 34.0542)",940,209200,6037209200,2092,942,4426071.553,8750.643303,6482584,1842213,2017,5,6,"Sunday",0
"1035",1035,170212090,2017-06-11,2017-06-10,2300,2,"Rampart",249,440,"THEFT PLAIN - PETTY ($950 & UNDER)","Theft","","0344 1218",40,"M","W",101,"STREET",NA,"","IC","Invest Cont",440,NA,NA,NA,"6TH                          ST","BEAUDRY                      AV","(34.0529, -118.2596)",34.0529,-118.2596,"POINT (-118.2596 34.0529)",940,209200,6037209200,2092,942,4426071.553,8750.643303,6482584,1842213,2017,6,10,"Sunday",1
"1036",1036,170215503,2017-08-14,2017-08-11,1400,2,"Rampart",249,220,"ATTEMPTED ROBBERY","Robbery","Attempt","0416 1202 1218",66,"M","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",220,NA,NA,NA,"BEAUDRY","WILSHIRE","(34.0515, -118.2615)",34.0515,-118.2615,"POINT (-118.2615 34.0515)",940,209200,6037209200,2092,942,4426071.553,8750.643303,6482584,1842213,2017,8,11,"Saturday",3
"1037",1037,170215822,2017-08-20,2017-08-20,2305,2,"Rampart",249,860,"BATTERY WITH SEXUAL CONTACT","Battery","","1218 2004 2002 0520 0522 0448 0551",40,"F","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",860,NA,NA,NA,"INGRAHAM","BEAUDRY","(34.0518, -118.2637)",34.0518,-118.2637,"POINT (-118.2637 34.0518)",940,209200,6037209200,2092,942,4426071.553,8750.643303,6482584,1842213,2017,8,20,"Monday",0
"1038",1038,160216170,2016-08-26,2016-08-18,1,2,"Rampart",212,440,"THEFT PLAIN - PETTY ($950 & UNDER)","Theft","","1218 0344",27,"F","B",504,"OTHER RESIDENCE",NA,"","IC","Invest Cont",440,NA,NA,NA,"300 N  MADISON                      AV","","(34.0764, -118.2892)",34.0764,-118.2892,"POINT (-118.2892 34.0764)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2016,8,18,"Friday",8
"1039",1039,162017828,2016-10-06,2016-10-06,1430,20,"Olympic",2019,624,"BATTERY - SIMPLE ASSAULT","Battery","","2004 1218 0416 0400",41,"F","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"JUANITA                      ST","BEVERLY                      BL","(34.0764, -118.2905)",34.0764,-118.2905,"POINT (-118.2905 34.0764)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2016,10,6,"Friday",0
"1040",1040,160218692,2016-10-11,2016-10-10,1500,2,"Rampart",212,121,"RAPE, FORCIBLE","Rape","Forcible","0527 0444 0432 1008 0448 0429 1402 1218",52,"F","W",103,"ALLEY",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,998,NA,NA,"OAKWOOD","MADISON","(34.0777, -118.2892)",34.0777,-118.2892,"POINT (-118.2892 34.0777)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2016,10,10,"Tuesday",1
"1041",1041,160219320,2016-10-25,2016-10-24,1845,2,"Rampart",212,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","2000 0416 1813 0319 0448 0429 2004 1218",25,"F","H",152,"UNDERPASS/BRIDGE*",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"VIRGIL                       AV","HOLLYWOOD                    FY","(34.0794, -118.2868)",34.0794,-118.2868,"POINT (-118.2868 34.0794)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2016,10,24,"Tuesday",1
"1042",1042,160219759,2016-11-02,2016-11-02,1400,2,"Rampart",212,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1402 1218",33,"M","H",101,"STREET",304,"CLUB/BAT","IC","Invest Cont",230,998,NA,NA,"VIRGIL                       AV","CLINTON                      ST","(34.0818, -118.2868)",34.0818,-118.2868,"POINT (-118.2868 34.0818)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2016,11,2,"Thursday",0
"1043",1043,160220374,2016-11-14,2016-11-13,1545,2,"Rampart",212,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1100 0309 0430 0906 1218",32,"M","H",101,"STREET",102,"HAND GUN","IC","Invest Cont",230,NA,NA,NA,"MADISON","OAKWOOD","(34.0777, -118.2892)",34.0777,-118.2892,"POINT (-118.2892 34.0777)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2016,11,13,"Monday",1
"1044",1044,160221194,2016-12-01,2016-12-01,1415,2,"Rampart",212,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","2004 1218 0411",37,"M","H",102,"SIDEWALK",200,"KNIFE WITH BLADE 6INCHES OR LESS","IC","Invest Cont",230,NA,NA,NA,"BEVERLY","MADISON","(34.0764, -118.2894)",34.0764,-118.2894,"POINT (-118.2894 34.0764)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2016,12,1,"Friday",0
"1045",1045,160221772,2016-12-13,2016-12-13,330,2,"Rampart",212,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0416 0305 0429 1218",49,"M","W",101,"STREET",312,"PIPE/METAL PIPE","IC","Invest Cont",230,NA,NA,NA,"JUANITA","BEVERLY","(34.0764, -118.2903)",34.0764,-118.2903,"POINT (-118.2903 34.0764)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2016,12,13,"Wednesday",0
"1046",1046,160222542,2016-12-28,2016-12-21,300,2,"Rampart",212,624,"BATTERY - SIMPLE ASSAULT","Battery","","0416 0417 2004 0913 0448 1218",26,"M","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"BEVERLY                      BL","JUANITA","(34.0764, -118.2905)",34.0764,-118.2905,"POINT (-118.2905 34.0764)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2016,12,21,"Thursday",7
"1047",1047,170205456,2017-01-30,2017-01-30,2015,2,"Rampart",212,210,"ROBBERY","Robbery","","0445 0416 0344 0319 1218",38,"M","O",401,"MINI-MART",304,"CLUB/BAT","IC","Invest Cont",210,NA,NA,NA,"3500 W  TEMPLE                       ST","","(34.08, -118.2881)",34.08,-118.2881,"POINT (-118.2881 34.08)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,1,30,"Tuesday",0
"1048",1048,170206086,2017-02-10,2017-02-10,150,2,"Rampart",212,761,"BRANDISH WEAPON","Threats","Weapon shown","0334 1218 2004 0431 0319",53,"M","B",102,"SIDEWALK",512,"MACE/PEPPER SPRAY","IC","Invest Cont",624,761,NA,NA,"JUANITA                      AV","OAKWOOD                      ST","(34.0777, -118.2903)",34.0777,-118.2903,"POINT (-118.2903 34.0777)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,2,10,"Saturday",0
"1049",1049,170207427,2017-03-10,2017-03-10,1450,2,"Rampart",212,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0416 1218 2004",50,"M","H",101,"STREET",304,"CLUB/BAT","IC","Invest Cont",230,NA,NA,NA,"VIRGIL                       AV","HOLLYWOOD                    FY","(34.0794, -118.2868)",34.0794,-118.2868,"POINT (-118.2868 34.0794)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,3,10,"Saturday",0
"1050",1050,170207475,2017-03-12,2017-03-11,1700,2,"Rampart",212,210,"ROBBERY","Robbery","","1218 0344 0421 0432 0319 0355",59,"M","B",102,"SIDEWALK",511,"VERBAL THREAT","IC","Invest Cont",210,NA,NA,NA,"JUANITA","OAKWOOD","(34.0777, -118.2903)",34.0777,-118.2903,"POINT (-118.2903 34.0777)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,3,11,"Sunday",1
"1051",1051,170200672,2017-03-25,2017-03-25,345,2,"Rampart",212,210,"ROBBERY","Robbery","","1402 0448 0416 0432 0907 1218 2004 1206",48,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",210,998,NA,NA,"JUANITA                      AV","BEVERLY                      BL","(34.0764, -118.2903)",34.0764,-118.2903,"POINT (-118.2903 34.0764)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,3,25,"Sunday",0
"1052",1052,170208523,2017-04-01,2017-04-01,810,2,"Rampart",212,210,"ROBBERY","Robbery","","0432 0334 0359 0355 2004 1218 0913 2006",32,"F","W",108,"PARKING LOT",201,"KNIFE WITH BLADE OVER 6 INCHES IN LENGTH","IC","Invest Cont",210,NA,NA,NA,"3500 W  TEMPLE                       ST","","(34.08, -118.2881)",34.08,-118.2881,"POINT (-118.2881 34.08)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,4,1,"Sunday",0
"1053",1053,170208874,2017-04-09,2017-04-09,2245,2,"Rampart",212,210,"ROBBERY","Robbery","","0344 1238 0416 0444 0429 0355 1218 2004",51,"M","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"BEVERLY                      BL","MADISON                      AV","(34.0764, -118.2894)",34.0764,-118.2894,"POINT (-118.2894 34.0764)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,4,9,"Monday",0
"1054",1054,170209656,2017-04-25,2017-04-25,2310,2,"Rampart",212,624,"BATTERY - SIMPLE ASSAULT","Battery","","1218 2004 0448 0400",34,"M","H",517,"",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"300 N  MADISON                      AV","","(34.0764, -118.2892)",34.0764,-118.2892,"POINT (-118.2892 34.0764)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,4,25,"Wednesday",0
"1055",1055,170209657,2017-04-25,2017-04-25,2310,2,"Rampart",212,624,"BATTERY - SIMPLE ASSAULT","Battery","","1218 2004 0448 0400",29,"F","B",517,"",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"300 N  MADISON                      AV","","(34.0764, -118.2892)",34.0764,-118.2892,"POINT (-118.2892 34.0764)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,4,25,"Wednesday",0
"1056",1056,170209658,2017-04-25,2017-04-25,2310,2,"Rampart",212,624,"BATTERY - SIMPLE ASSAULT","Battery","","1206 1218 2004 0448 0416",33,"F","B",517,"",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"300 N  MADISON                      AV","","(34.0764, -118.2892)",34.0764,-118.2892,"POINT (-118.2892 34.0764)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,4,25,"Wednesday",0
"1057",1057,170213599,2017-07-11,2017-07-11,30,2,"Rampart",212,210,"ROBBERY","Robbery","","0448 0416 0344 1218 2004",53,"M","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"300 N  VIRGIL                       AV","","(34.08, -118.2881)",34.08,-118.2881,"POINT (-118.2881 34.08)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,7,11,"Wednesday",0
"1058",1058,170214393,2017-07-25,2017-07-24,2350,2,"Rampart",212,210,"ROBBERY","Robbery","","2004 1218 0906 2000 1814 0448 0416 0344 1402",30,"F","H",116,"OTHER/OUTSIDE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,998,NA,NA,"OAKWOOD","JUANITA","(34.0777, -118.2903)",34.0777,-118.2903,"POINT (-118.2903 34.0777)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,7,24,"Tuesday",1
"1059",1059,170214463,2017-07-26,2017-07-26,320,2,"Rampart",212,761,"BRANDISH WEAPON","Threats","Weapon shown","1300 1309 0448 0334 1218 0906",29,"M","H",101,"STREET",102,"HAND GUN","IC","Invest Cont",761,NA,NA,NA,"JUANITA","BEVERLY","(34.0764, -118.2903)",34.0764,-118.2903,"POINT (-118.2903 34.0764)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,7,26,"Thursday",0
"1060",1060,170214728,2017-07-31,2017-07-31,1500,2,"Rampart",212,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","2000 1814 2004 1218 0416",16,"M","O",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"BEVERLY","MADISON","(34.0764, -118.2894)",34.0764,-118.2894,"POINT (-118.2894 34.0764)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,7,31,"Tuesday",0
"1061",1061,172015830,2017-08-19,2017-08-19,1530,20,"Olympic",2019,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","1218 0432 1813 2000 0416 2004 0445",40,"M","H",158,"",308,"STICK","IC","Invest Cont",626,NA,NA,NA,"JUANITA","BEVERLY                      BL","(34.0764, -118.2905)",34.0764,-118.2905,"POINT (-118.2905 34.0764)",1466,192700,6037192700,1927,1468,5717696.706,9614.05306,6474425,1851626,2017,8,19,"Sunday",0
"1062",1062,160319227,2016-08-18,2016-08-18,500,3,"Southwest",393,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036","Theft","","1310 0913 0344 1218",38,"M","B",108,"PARKING LOT",NA,"","IC","Invest Cont",341,NA,NA,NA,"4000    LEIMERT                      BL","","(34.004, -118.3307)",34.004,-118.3307,"POINT (-118.3307 34.004)",845,234300,6037234300,2343,847,9367809.462,12185.15533,6461949,1825231,2016,8,18,"Friday",0
"1063",1063,160323169,2016-10-12,2016-10-12,1900,3,"Southwest",393,761,"BRANDISH WEAPON","Threats","Weapon shown","0334 0913 1218",31,"F","B",109,"PARK/PLAYGROUND",204,"FOLDING KNIFE","IC","Invest Cont",761,NA,NA,NA,"43RD                         PL","CRENSHAW                     BL","(34.0042, -118.3326)",34.0042,-118.3326,"POINT (-118.3326 34.0042)",845,234300,6037234300,2343,847,9367809.462,12185.15533,6461949,1825231,2016,10,12,"Thursday",0
"1064",1064,160326958,2016-12-10,2016-12-10,1,3,"Southwest",393,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1414 1206 1218 0416 0446 0445 0342 0444 1822",27,"F","B",109,"PARK/PLAYGROUND",306,"ROCK/THROWN OBJECT","IC","Invest Cont",230,NA,NA,NA,"3400 W  43RD                         PL","","(34.0042, -118.3315)",34.0042,-118.3315,"POINT (-118.3315 34.0042)",845,234300,6037234300,2343,847,9367809.462,12185.15533,6461949,1825231,2016,12,10,"Sunday",0
"1065",1065,170304238,2017-01-04,2016-12-30,2300,3,"Southwest",393,121,"RAPE, FORCIBLE","Rape","Forcible","0319 0545 0501 1218 1310",28,"M","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,NA,NA,NA,"W  43RD                         ST","CRENSHAW                     BL","(34.0054, -118.3338)",34.0054,-118.3338,"POINT (-118.3338 34.0054)",845,234300,6037234300,2343,847,9367809.462,12185.15533,6461949,1825231,2016,12,30,"Saturday",5
"1066",1066,170306947,2017-02-15,2017-02-15,1020,3,"Southwest",393,210,"ROBBERY","Robbery","","0916 1218 1822 0605 0400",53,"M","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"W  43RD","DEGNAN","(34.006, -118.3315)",34.006,-118.3315,"POINT (-118.3315 34.006)",845,234300,6037234300,2343,847,9367809.462,12185.15533,6461949,1825231,2017,2,15,"Thursday",0
"1067",1067,170311225,2017-04-19,2017-04-19,1150,3,"Southwest",393,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","2004 0416 0419 0447 1218 2000 1814",28,"F","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",230,NA,NA,NA,"4300    DEGNAN                       BL","","(34.006, -118.3315)",34.006,-118.3315,"POINT (-118.3315 34.006)",845,234300,6037234300,2343,847,9367809.462,12185.15533,6461949,1825231,2017,4,19,"Thursday",0
"1068",1068,170319514,2017-08-20,2017-08-20,630,3,"Southwest",393,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","Threats","No weapon","0443 1822 0216 1218 1309 0319",23,"F","X",108,"PARKING LOT",511,"VERBAL THREAT","IC","Invest Cont",930,NA,NA,NA,"4300    LEIMERT                      BL","","(34.006, -118.329)",34.006,-118.329,"POINT (-118.329 34.006)",845,234300,6037234300,2343,847,9367809.462,12185.15533,6461949,1825231,2017,8,20,"Monday",0
"1069",1069,161317824,2016-08-18,2016-08-18,1700,13,"Newton",1372,624,"BATTERY - SIMPLE ASSAULT","Battery","","1218 0913 0416 0417 0429",48,"F","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"400 E  58TH                         ST","","(33.9899, -118.2674)",33.9899,-118.2674,"POINT (-118.2674 33.9899)",812,229410,6037229410,2294.1,814,5838700.426,9706.990136,6479955,1819666,2016,8,18,"Friday",0
"1070",1070,171317248,2017-07-28,2017-07-28,300,13,"Newton",1372,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0416",39,"M","A",102,"SIDEWALK",212,"BOTTLE","IC","Invest Cont",230,NA,NA,NA,"MAIN                         ST","53RD                         ST","(33.9943, -118.2739)",33.9943,-118.2739,"POINT (-118.2739 33.9943)",812,229410,6037229410,2294.1,814,5838700.426,9706.990136,6479955,1819666,2017,7,28,"Saturday",0
"1071",1071,161500985,2016-08-18,2016-08-18,1730,15,"N Hollywood",1503,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","2004 1402 0411 0421 1218 0913 0342 0416 0447 1414",24,"M","H",154,"TRAIN TRACKS",200,"KNIFE WITH BLADE 6INCHES OR LESS","AO","Adult Other",230,998,NA,NA,"SHERMAN","LAUREL CANYON","(34.2006, -118.3965)",34.2006,-118.3965,"POINT (-118.3965 34.2006)",1382,123203,6037123203,1232.03,1384,6324538.206,12755.87296,6443393,1894028,2016,8,18,"Friday",0
"1072",1072,161517349,2016-08-26,2016-08-19,1930,15,"N Hollywood",1515,440,"THEFT PLAIN - PETTY ($950 & UNDER)","Theft","","0344 1218",36,"M","W",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",440,NA,NA,NA,"6600    LANKERSHIM                   BL","","(34.1962, -118.3911)",34.1962,-118.3911,"POINT (-118.3911 34.1962)",1382,123203,6037123203,1232.03,1384,6324538.206,12755.87296,6443393,1894028,2016,8,19,"Saturday",7
"1073",1073,161516690,2016-08-18,2016-08-18,1100,15,"N Hollywood",1547,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0416 1218 2004 0445 1414 0427",50,"M","H",102,"SIDEWALK",301,"BELT FLAILING INSTRUMENT/CHAIN","IC","Invest Cont",230,NA,NA,NA,"BURBANK                      BL","LANKERSHIM                   BL","(34.1722, -118.379)",34.1722,-118.379,"POINT (-118.379 34.1722)",1264,124204,6037124204,1242.04,1266,3491073.759,7925.264192,6448344,1885905,2016,8,18,"Friday",0
"1074",1074,161522136,2016-11-25,2016-11-25,2355,15,"N Hollywood",1547,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","2000 0444 1814 2004 1218",52,"F","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"BURBANK","LANKERSHIM","(34.1722, -118.379)",34.1722,-118.379,"POINT (-118.379 34.1722)",1264,124204,6037124204,1242.04,1266,3491073.759,7925.264192,6448344,1885905,2016,11,25,"Saturday",0
"1075",1075,171510786,2017-04-26,2017-04-26,930,15,"N Hollywood",1547,624,"BATTERY - SIMPLE ASSAULT","Battery","","0416 1218",18,"M","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"BURBANK                      BL","LANKERSHIM","(34.1722, -118.379)",34.1722,-118.379,"POINT (-118.379 34.1722)",1264,124204,6037124204,1242.04,1266,3491073.759,7925.264192,6448344,1885905,2017,4,26,"Thursday",0
"1076",1076,171515340,2017-07-17,2017-07-17,420,15,"N Hollywood",1549,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","2000 0416 1218 2004",35,"F","W",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"VINELAND                     AV","BURBANK                      BL","(34.1722, -118.3703)",34.1722,-118.3703,"POINT (-118.3703 34.1722)",1264,124204,6037124204,1242.04,1266,3491073.759,7925.264192,6448344,1885905,2017,7,17,"Tuesday",0
"1077",1077,161612965,2016-08-19,2016-08-18,2330,16,"Foothill",1602,624,"BATTERY - SIMPLE ASSAULT","Battery","","0400 0416 0446 1218",34,"F","B",402,"MARKET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"12700    VAN NUYS                     BL","","(34.2816, -118.4073)",34.2816,-118.4073,"POINT (-118.4073 34.2816)",1276,104204,6037104204,1042.04,1278,28702108.49,30263.47064,6442220,1927916,2016,8,18,"Friday",1
